Sample_Size,KMeans_ms,DBSCAN_ms,Performance_Ratio,Winner
100,20.8,0.78,0.04,DBSCAN
500,23.97,2.17,0.09,DBSCAN
1000,29.32,4.95,0.17,DBSCAN
2000,13.99,11.23,0.8,DBSCAN
3000,16.65,18.27,1.1,K-Means
5000,18.18,36.61,2.01,K-Means
7500,18.55,59.72,3.22,K-Means
10000,22.7,98.3,4.33,K-Means
15000,26.58,172.09,6.48,K-Means
20000,31.84,288.0,9.05,K-Means
30000,41.49,523.55,12.62,K-Means
50000,79.2,1250.49,15.79,K-Means
75000,111.88,2542.9,22.73,K-Means
100000,134.18,4059.62,30.25,K-Means
200000,273.61,14504.47,53.01,K-Means
300000,383.19,142954.9,373.07,K-Means
