sample_size,kmeans_time_sec,kmeans_std_sec,dbscan_time_sec,dbscan_std_sec,ratio
50,0.018425866668015562,0.0005363794330574518,0.0007657999982863354,7.619348096749793e-05,0.0415611385930435
100,0.01841523333375032,0.0009018013272595241,0.0007372666635395338,3.601354565963178e-05,0.04003569491505255
200,0.01832459999908072,0.0005548927650639024,0.0012289999989055407,4.6188527849440324e-05,0.06706831248524907
500,0.021535100000619423,0.00023341709304487728,0.0018101333334925584,0.0001390562061709718,0.08405502335445356
1000,0.02579610000005535,0.0003835001693605214,0.00402623333017497,0.0002916702046612891,0.15607914879250473
2000,0.011055833330222717,0.0003128151984260911,0.009608833332701275,0.001294087774919999,0.8691188665475033
3000,0.012624300000121972,0.0002750704998759109,0.016379933336186998,0.0011397044464006732,1.2974924024325103
5000,0.014246566664951388,3.1769727683722693e-05,0.035888966662848056,0.0017760276048935097,2.519130925147046
7500,0.01616246666768954,0.00037027262349840557,0.05248809999708707,0.001464352215741425,3.2475302858329336
10000,0.018573633332077105,0.0004683975678275949,0.08570243333088001,0.0043118225730657015,4.614198622241017
15000,0.02373786666673065,0.00017840449115709927,0.1512875000044005,0.0034522818841435376,6.373255951278662
20000,0.028098866668491002,0.0003481600026570654,0.2560172999995605,0.011374302998316495,9.111303420883113
30000,0.03516936666710535,0.0011724909391408966,0.4739923666687294,0.00992581604147888,13.477421164711062
50000,0.07098816666742398,0.0017553235132750453,1.2195084000001468,0.05757151320211701,17.179037820676264
